"","time","mean_valssp_Acte","mean_valssp_ActeL","mean_valssp_ActeU","mean_valsfp_Acte","mean_valsfp_ActeL","mean_valsfp_ActeU","mean_valsdet_Acte","mean_valsdet_ActeL","mean_valsdet_ActeU","mean_valssp_Sumi","mean_valssp_SumiL","mean_valssp_SumiU","mean_valsfp_Sumi","mean_valsfp_SumiL","mean_valsfp_SumiU","mean_valsdet_Sumi","mean_valsdet_SumiL","mean_valsdet_SumiU"
"1",1,0.882453922315507,0.877849346335651,0.886903588550121,0.0985711659755487,0.0944491153778385,0.102848970286518,0.224307517225969,0.218836578066896,0.229932871407471,0.686422455295901,0.674601301233033,0.698533429156636,0.202049660369886,0.19284262832407,0.210990349898867,0.385487089512485,0.377889346472214,0.393547602739072
"2",2,0.881528831044525,0.876871799784284,0.886028438578925,0.0993263113639802,0.0951582050015698,0.103652945390568,0.22276483619027,0.217287468526295,0.228396823921084,0.684832881259372,0.672917917571945,0.697036085920118,0.203425664971614,0.194128023135133,0.212458858055487,0.383741584592846,0.376090619102907,0.391854246948646
"3",3,0.880597444381789,0.875887536178331,0.885147393581954,0.100086599531181,0.0958720545961291,0.104462473425678,0.221229739030862,0.21574629626022,0.226868014769856,0.68323896782754,0.67123006946444,0.695534547146956,0.204808635264976,0.195419911417132,0.213934815798858,0.381999070216642,0.374295302300749,0.390163489741819
"4",4,0.879659735011555,0.874896527086407,0.884260427440758,0.100852055642699,0.0965906876363936,0.105277581285678,0.219702230148595,0.21421306353642,0.225346450299802,0.681640740728115,0.669537788820818,0.694028833188098,0.206198573783372,0.196718298339487,0.215418222390017,0.380259585967646,0.372503438873366,0.388475367663322
"5",5,0.878715675748826,0.873898744246671,0.883367514135366,0.101622704834111,0.097314127584117,0.106098295812809,0.218182313304435,0.212687771947401,0.223832136251754,0.68003822606349,0.667841107979847,0.692518964718904,0.207595482578255,0.198023188680607,0.216909076502935,0.378523171127575,0.370715071261709,0.386789917011422
"6",6,0.877765239544204,0.872894159572533,0.882468627748396,0.102398572208138,0.0980423978855787,0.106924643794211,0.216669991625292,0.211170422417167,0.222325077766365,0.678431450310102,0.666140059707435,0.691004962739008,0.208999363214032,0.199334586823423,0.218407376218754,0.376789864673002,0.368930241536658,0.385107173835129
"7",7,0.876808399488799,0.871882745158415,0.881563742469223,0.103179682831729,0.098775521969201,0.107756651958358,0.215165267609908,0.209661015208015,0.220825279389176,0.67682044031774,0.664434677195197,0.689486848572144,0.210410216762986,0.200652496750937,0.219913119020094,0.375059705272331,0.367148991395718,0.38342717393145
"8",8,0.875845128819183,0.870864473285563,0.880652832598181,0.103966061733099,0.0995135232431317,0.108594346971452,0.213668143134811,0.208159549927393,0.219332745075738,0.675205223308776,0.662724994058963,0.687964643865916,0.211828043800237,0.20197692204179,0.221426301785404,0.373332731282835,0.365371362159786,0.381749952842698
"9",9,0.8748754009224,0.869839316427931,0.879735872550823,0.104757733898732,0.100256425092794,0.109437755433765,0.212178619460314,0.206666025534809,0.2178474781968,0.673585826877349,0.661011044337187,0.686438370591524,0.213252844398729,0.203307865865839,0.222946920783365,0.371608980747753,0.363597394770002,0.380075545853844
"10",10,0.873899189341031,0.8688072472581,0.878812836862216,0.105554724270343,0.1010042508784,0.110286903875939,0.210696697236579,0.205180440348787,0.216369481543541,0.671962278988471,0.659292862489285,0.684908051043437,0.214684618124262,0.204645330979766,0.22447497166736,0.36988849139346,0.361827129784681,0.378403987989922
