"","time","mean_valssp_Acte","mean_valssp_ActeL","mean_valssp_ActeU","mean_valsfp_Acte","mean_valsfp_ActeL","mean_valsfp_ActeU","mean_valsdet_Acte","mean_valsdet_ActeL","mean_valsdet_ActeU","mean_valssp_Sumi","mean_valssp_SumiL","mean_valssp_SumiU","mean_valsfp_Sumi","mean_valsfp_SumiL","mean_valsfp_SumiU","mean_valsdet_Sumi","mean_valsdet_SumiL","mean_valsdet_SumiU"
"1",1,0.882583019915665,0.877641071960531,0.887475851941337,0.0985978209424982,0.0945321262946379,0.102916716739589,0.224291953598033,0.218902989616459,0.229757553751708,0.6864565164572,0.674681008860277,0.698258964936222,0.20182540488803,0.193047686227187,0.210871238245349,0.385519975934349,0.377465211853966,0.394491870238002
"2",2,0.881658314985602,0.876659648100963,0.886605281887441,0.0993530251685308,0.0952425648607432,0.103719840415548,0.222748530119986,0.217349694626295,0.228223588036235,0.684867127017974,0.673001997799023,0.696759937250666,0.203201401823606,0.194336589088788,0.21233751525672,0.383774515038771,0.375671717915077,0.39279605239793
"3",3,0.880727311789332,0.875671467523016,0.885728843704543,0.100113371393461,0.0959577767721881,0.104528501103474,0.221212698640573,0.215804376359684,0.226696849520237,0.68327339813138,0.67131854273063,0.695256712647428,0.204584375425261,0.195632011186694,0.213811225444543,0.38203204359371,0.373881627691689,0.391102815842565
"4",4,0.879789982949629,0.874676501619154,0.884846511275983,0.100878884769595,0.0966777855807535,0.105342725561416,0.219684463560681,0.214267037128035,0.225177344465842,0.681675355512631,0.669630675307907,0.693749311574583,0.205974328310524,0.19693395765639,0.215292368120607,0.380292601181816,0.372094983591116,0.389412197319474
"5",5,0.87884630121962,0.873674721954336,0.883958258580582,0.101649590419188,0.0974026148247573,0.106162540495892,0.218163828640013,0.212737678560514,0.223665078532541,0.680073025251544,0.667938427607991,0.692237754805382,0.20737126261423,0.198242433238609,0.216780942012697,0.378556227083811,0.370311827656814,0.387724233330734
"6",6,0.877896239487642,0.872666100271805,0.883064059696701,0.102425513431557,0.0981322880266873,0.106987972558397,0.216650797002935,0.211216301610862,0.222160056782172,0.678466433811916,0.666241832131026,0.690722063438114,0.208775179983384,0.199557442274825,0.218276945258872,0.376822960275401,0.368532201565063,0.386038960130105
"7",7,0.876939770782161,0.871650608498932,0.882163888806358,0.103206678860172,0.0988668286908005,0.107819048341865,0.215145371144381,0.209702906564277,0.220662283683977,0.676855608030819,0.664540921798763,0.689202258895921,0.210186081572069,0.20087898870276,0.219780375401793,0.375092839424252,0.366756146621704,0.384356413720249
"8",8,0.875976868276725,0.870628218753117,0.881257720199389,0.103993111719688,0.0996062603006884,0.108655794377088,0.213647552935817,0.208197493044354,0.219171763119708,0.675240575117845,0.662835729953083,0.687678362926551,0.211603968036372,0.202207076051908,0.221291229383095,0.373365902887022,0.364983703758976,0.382676629850006
"9",9,0.875007505294989,0.869598903347754,0.880345528277654,0.104784836982952,0.100350606316808,0.109498237129086,0.212157343631268,0.206700060020078,0.217688498388798,0.673621362654284,0.661126290354436,0.686150397602084,0.213028839529352,0.203541707439084,0.222809503537828,0.371642188706467,0.363214913532416,0.380999644011705
"10",10,0.874031655315777,0.868562634798246,0.879427287559289,0.105581879577968,0.101099890173981,0.110346402993432,0.210674743873388,0.205210605812868,0.21621249221358,0.671997998592236,0.6594126371802,0.684618385318587,0.214460695696039,0.204882885563981,0.224335193588944,0.369921734608603,0.361449816117851,0.37932549143854
"11",11,0.8730492919782,0.86751938582808,0.878502972683007,0.106384264384812,0.101854135278854,0.111200318292531,0.209199753699589,0.203729128103672,0.214743746744568,0.670370511253661,0.657694805022965,0.68308234879574,0.215899535668476,0.206230612704759,0.225868294641848,0.36820457799993,0.35968845130846,0.377654207101979
"12",12,0.872060389086831,0.866469129374963,0.87757255841244,0.107192016232518,0.10261336500733,0.112060009271853,0.207732372548218,0.202255623940111,0.213282263565777,0.668738929329367,0.655972828888724,0.6815423110764,0.217345358060791,0.20758489071365,0.227408801179015,0.366490755964722,0.357930858511925,0.375985825709236
"13",13,0.871064920616916,0.865411838597003,0.876636019640526,0.108005159895924,0.103377602701962,0.112925502096118,0.206272599264781,0.200790089743657,0.2118280437001,0.667103281877934,0.654246744194999,0.679998295526118,0.218798160964318,0.208945721012589,0.228956707054663,0.364780305262388,0.356177076747658,0.374320381700787
"14",14,0.870062860719654,0.864347486878953,0.875693331393953,0.108823720092468,0.104146871669311,0.113796822845438,0.204820432108204,0.199332521316862,0.210381087614731,0.665463598324566,0.652516586768874,0.678450325832608,0.220257941942756,0.210313104588867,0.230512005489498,0.363073262324885,0.354427144644104,0.372657909247933
"15",15,0.869054183727507,0.863276047838509,0.874744468837628,0.109647721478953,0.104921195177277,0.114673997511411,0.203375868757148,0.197882913850618,0.208941395226626,0.66381990845989,0.650782392844951,0.67689842600517,0.221724698027374,0.211687041990816,0.232074689065534,0.361369663254201,0.352681100436139,0.370998442250422
"16",16,0.868038864159579,0.862197495332658,0.87378940727921,0.11047718864827,0.105700596452385,0.115557051993168,0.201938906316354,0.196441261931459,0.207508965908013,0.662172242438683,0.649044199063224,0.675342620374051,0.223198425712266,0.213067533323516,0.233644749720971,0.35966954381991,0.350938981962531,0.369342014334112
"17",17,0.867016876727026,0.86111180346408,0.872828122173676,0.11131214612608,0.106485098677041,0.116446012093379,0.200509541323026,0.195007559548885,0.206083798491935,0.660520630778532,0.647302042466875,0.673782933589769,0.224679120949644,0.214454578244538,0.23522217874516,0.357972939456777,0.349200826663497,0.367688658848694
"18",18,0.865988196338528,0.860018946587605,0.871860589127933,0.112152618367454,0.107274724986759,0.117340903514203,0.199087769753255,0.193581800102728,0.204665891277841,0.658865104358436,0.645555960499983,0.672219390622376,0.226166779145193,0.215848175959707,0.236806966773638,0.356279885262442,0.347466671578332,0.366038408865461
"19",19,0.864952798105801,0.858918899316718,0.87088678390548,0.112998629753476,0.108069498467341,0.118241751853206,0.197673587028466,0.192163976410534,0.203255242037202,0.657205694417339,0.643805991005158,0.670652016760674,0.227661395153474,0.217248325218914,0.238399103783247,0.354590415995162,0.345736553343123,0.364391297175125
"20",20,0.863910657349161,0.857811636530116,0.869906682431106,0.113850204587807,0.108869442152035,0.119148582599221,0.196266988021901,0.190754080714981,0.201851848019169,0.655542432552595,0.64205217222109,0.669080837611385,0.229162963273375,0.218655024311941,0.239998579087324,0.352904566071618,0.344010508188542,0.362747356285695
"21",21,0.862861749603129,0.856697133378317,0.868920260795634,0.114707367093202,0.109674579018648,0.120061421128171,0.194867967065131,0.18935210469131,0.200455705956258,0.653875350718372,0.640294542780018,0.667505879098257,0.230671477243625,0.22006827106434,0.241605381330991,0.351222369564794,0.342288571937726,0.361106618420398
"22",22,0.861806050622092,0.855575365290312,0.86792749526071,0.115570141407996,0.11048493198663,0.120980292698841,0.193476517954589,0.187958039454779,0.19906681207007,0.652204481223988,0.638533141705118,0.665927167461133,0.232186930238369,0.22148806283334,0.243219498486516,0.349543860201912,0.340570780004225,0.359469115515659
"23",23,0.860743536385996,0.854446307980272,0.866928362263631,0.116438551582546,0.111300523914123,0.121905222448607,0.192092633958127,0.186571875568136,0.19768516207703,0.650529856732184,0.636768008407811,0.664344729254956,0.233709314862789,0.222914396503786,0.244840917848774,0.347869071362439,0.33885716739005,0.357834879219122
"24",24,0.859674183106099,0.853309937454296,0.865922838422218,0.117312621575628,0.112121377594972,0.122836235389124,0.190716307821602,0.185193603049105,0.196310751194163,0.648851510257325,0.63499918268499,0.662758591348733,0.235238623148801,0.224347268484136,0.246469626030793,0.346198036076162,0.337147768683784,0.356203940887739
"25",25,0.858597967230756,0.852166230017207,0.864910900539729,0.118192375250808,0.112947515755703,0.123773356401958,0.189347531775467,0.183823211377882,0.194943574144889,0.647169475163546,0.633226704716164,0.661168780924437,0.236774846550812,0.225786674702475,0.248105608959396,0.344530787021318,0.335442618058784,0.354576331585895
"26",26,0.857514865451254,0.8510151622794,0.863892525609813,0.119077836372754,0.113778961052467,0.124716610234189,0.187986297541392,0.182460689504649,0.193583625164838,0.645483785162819,0.631450615060526,0.659575325475863,0.238317975941533,0.227232610602597,0.24974885187094,0.342867356522802,0.333741749271463,0.352952082083597
"27",27,0.856424854707689,0.849856711163716,0.862867690821507,0.11996902860353,0.114615736067948,0.125666021493955,0.186632596338893,0.181106025857086,0.192230898007689,0.643794474312967,0.629670954653941,0.657978252807433,0.239868001607878,0.228685071140108,0.251399339307151,0.341207776550434,0.332045195659646,0.351331222854709
"28",28,0.855327912194885,0.848690853912383,0.861836373564267,0.120865975498831,0.115457863308236,0.126621614645962,0.185286418891977,0.179759208347894,0.190885385951025,0.642101577015604,0.627887764805847,0.656377591032943,0.241424913246914,0.230144050778595,0.253057055111064,0.339552078717291,0.330352990141018,0.349713784075245
"29",29,0.854224015368349,0.847517568093975,0.86079855143305,0.121768700504191,0.116305365199668,0.127583414006946,0.183947755435793,0.178420224382324,0.189547081802209,0.640405128014014,0.626101087196086,0.654773368574264,0.242988699961894,0.231609543485824,0.254721982423064,0.337900294278106,0.328665165211641,0.348099795621703
"30",30,0.85311314195028,0.84633683161043,0.859754202233423,0.122677226951152,0.117158264085629,0.128551443741089,0.182616595723301,0.177089060865698,0.18821597790427,0.638705162390962,0.624310963871651,0.653165614159984,0.244559350258362,0.233081542730004,0.256394103677033,0.336252454127738,0.326981752944556,0.346489287069469
"31",31,0.8519952699356,0.845148622704095,0.858703303986714,0.123591578053381,0.118016582223326,0.129525727855398,0.181292929031936,0.175765704210936,0.186892066141804,0.637001715566438,0.622517437243351,0.651554356824004,0.246136852040328,0.234560041476088,0.258073400596606,0.334608588799695,0.325302784988467,0.344882287691256
"32",32,0.85087037759804,0.843952919964815,0.857645834935212,0.124511776902768,0.118880341780519,0.13050629019504,0.179976744170287,0.174450140346083,0.185575337946888,0.635294823295344,0.620720550082408,0.649939625904079,0.247721192606531,0.236045032182135,0.259759854191539,0.332968728464733,0.323628292566497,0.34327882645561
"33",33,0.849738443496251,0.84274970233706,0.856581773547383,0.125437846465468,0.119749564832225,0.131493154438624,0.178668029484773,0.173142354721818,0.184265784304999,0.633584521665105,0.618920345516964,0.648321451040304,0.249312358646767,0.237536506795718,0.26145344475419,0.331332902929518,0.321958306475032,0.341678932025457
"34",34,0.848599446479961,0.84153894912708,0.855511098523144,0.126369809577915,0.120624273357384,0.13248634409346,0.177366772866326,0.17184233231897,0.182963395760951,0.631870847093221,0.617116867028518,0.64669986217355,0.250910336238314,0.239034456750395,0.263154151856114,0.329701141635349,0.320292857082639,0.340082632756708
"35",35,0.847453365696164,0.840320640010102,0.854433788799159,0.127307688942792,0.121504489235492,0.133485882490758,0.176072961757063,0.170550057656014,0.181668162424825,0.630153836324755,0.615310158448284,0.645074889543848,0.252515110842429,0.240538872962233,0.264861954344775,0.328073473656948,0.318631974329061,0.338489956696919
"36",36,0.846300180595343,0.839094755037556,0.853349823554178,0.128251507124969,0.122390234243197,0.134491792780795,0.174786583156969,0.169265514796563,0.180380073977913,0.628433526429755,0.613500263953469,0.643446563688721,0.254126667300935,0.242049745826386,0.266576830340386,0.326449927701317,0.316975687724297,0.336900931583997
"37",37,0.845139870937733,0.837861274644333,0.852259182214405,0.129201286547397,0.123281530050868,0.13550409792804,0.173507623630566,0.167988687356841,0.179099119678663,0.626709954800609,0.611687228063482,0.641814915441459,0.255744989832897,0.243567065213741,0.268298757232863,0.324830532106657,0.31532402634775,0.335315584844963
"38",38,0.843972416799604,0.836620179656068,0.851161844458904,0.130157049486971,0.12417839821912,0.136522820706239,0.17223606931358,0.166719558513148,0.177825288368626,0.624983159149342,0.609871095636062,0.640179975929346,0.257370062031383,0.245090820467621,0.270027711678908,0.32321531484135,0.31367701884746,0.333733943594765
"39",39,0.842797798579594,0.835371451296462,0.850057790225037,0.131118818070349,0.125080860195319,0.137547983693457,0.170971905919597,0.165458111009298,0.176558568478399,0.623253177504841,0.608051911863328,0.638541776571835,0.259001866860318,0.246621000400554,0.271763669599219,0.321604303503009,0.312034693439413,0.332156034635145
"40",40,0.841615997005054,0.834115071194618,0.848946999713934,0.132086614269739,0.125988937310039,0.138579609267083,0.169715118746717,0.164204327164049,0.17529894803357,0.621520048210025,0.606229722267765,0.636900349078667,0.260640386651438,0.248157593291097,0.273506606175832,0.319997525317587,0.310397077906923,0.330581884453555
"41",41,0.840426993138439,0.832851021392413,0.847829453395994,0.133060459898653,0.126902650773497,0.139617719598797,0.168465692684186,0.162958188878504,0.174046414660663,0.619783809918946,0.604404572698125,0.635255725447943,0.262285603101323,0.249700586880743,0.275256495849591,0.318395007138552,0.308764199600091,0.329011519222128
"42",42,0.839230768383714,0.831579284351883,0.846705132016416,0.134040376607614,0.127822021671949,0.140662336649495,0.167223612219028,0.161719677643495,0.172800955593068,0.618044501593829,0.602576509325264,0.633607937964138,0.263937497268548,0.251249968370881,0.277013312317756,0.316796775446128,0.307136085435345,0.327444964796701
"43",43,0.838027304492793,0.830299842962638,0.845574016600766,0.135026385879838,0.128747070964055,0.141713482164179,0.165988861442653,0.160488774546944,0.171562557676977,0.616302162502049,0.600745578637897,0.631957019196064,0.265596049570913,0.252805724419831,0.278777028531746,0.31520285634659,0.305512761895046,0.325882246715886
